client,tau,theta_star,final_pnl
A,5,0.452,10388.5
A,10,0.446,12274.53
A,15,0.506,13423.61
A,20,0.507,16415.15
A,25,0.457,18449.6
A,30,0.554,19573.51
B,5,0.452,8609.3
B,10,0.446,9444.94
B,15,0.468,10735.3
B,20,0.47,11352.13
B,25,0.449,12639.25
B,30,0.591,13855.36
C,5,0.452,8146.44
C,10,0.501,8824.23
C,15,0.525,8891.48
C,20,0.47,8749.53
C,25,0.51,9511.27
C,30,0.529,9749.83
D,5,0.492,4590.83
D,10,0.545,3321.96
D,15,0.518,1722.94
D,20,0.508,-501.79
D,25,0.51,-1749.38
D,30,0.473,-249.38
E,5,0.537,3362.56
E,10,0.0,0.0
E,15,0.485,-23.63
E,20,0.0,0.0
E,25,0.449,75.3
E,30,0.459,0.0
F,5,0.537,2145.49
F,10,0.0,0.0
F,15,0.518,-38.44
F,20,0.508,-88.43
F,25,0.0,0.0
F,30,0.0,0.0
